=== PlotCoinXsec v4 (phipq panels) ===
manifest: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/settings/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
leafDir: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/settings/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
setting_id: pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
resultsDir: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/results/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
runs_signal: 25
runs_dummy: 8
runs_positron: 2
runs_positron_dummy: 2
sigma_model=0.00259622
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=139
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=15
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=22
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=15
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=329
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=35
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=41
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=41
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=342
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=41
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=26
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=49
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=130
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=9
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=11
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=14
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
