category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24310,13.699,275.288,7.9212,0.0403325,11.103,0.319482,24.935,1,0.9991,1.00479,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24310_-1.root",OK,1,""
signal,24311,14.109,286.163,8.03314,0.0406076,11.6204,0.326206,24.782,1,0.9986,1.00493,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24311_-1.root",OK,1,""
signal,24312,14.298,309.9,8.42007,0.0367163,11.3784,0.309154,27.413,1,0.9985,1.00499,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24312_-1.root",OK,1,""
signal,24313,13.837,398.925,9.50771,0.028606,11.4116,0.271977,35.183,1,0.9984,1.00483,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24313_-1.root",OK,1,""
signal,24314,13.797,257.55,7.69363,0.0433489,11.1645,0.33351,23.21,1,0.9987,1.00482,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24314_-1.root",OK,1,""
signal,24315,14.054,227.175,7.16652,0.0503083,11.4288,0.360536,19.997,1,0.9989,1.00491,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24315_-1.root",OK,1,""
signal,24316,13.701,258.525,7.70404,0.0428697,11.0829,0.33027,23.471,1,0.9986,1.00479,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24316_-1.root",OK,1,""
signal,24317,14.034,271.012,7.86186,0.0406895,11.0274,0.319895,24.729,1,0.9987,1.0049,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24317_-1.root",OK,1,""
signal,24318,6.472,51.6375,3.13815,0.214526,11.0776,0.673214,4.679,1,0.9985,1.00226,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24318_-1.root",OK,1,""
signal,24376,13.818,179.25,6.38822,0.0638462,11.4444,0.407864,15.754,1,0.999,1.00483,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24376_-1.root",OK,1,""
