category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24779,53.894,267.262,6.93223,0.0106395,2.84355,0.0737557,97.751,1,0.998,1.03794,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24779_-1.root",OK
signal,24780,47.821,175.463,5.59002,0.0170801,2.99692,0.0954783,60.61,1,0.9986,1.03378,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24780_-1.root",OK
signal,24781,52.939,259.162,6.80695,0.0112146,2.90641,0.0763373,92.57,1,0.9987,1.03679,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24781_-1.root",OK
signal,24782,46.318,283.762,7.11048,0.010451,2.9656,0.0743116,98.896,1,0.9984,1.03191,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24782_-1.root",OK
signal,24783,43.637,222.113,6.29252,0.0131103,2.91195,0.0824966,78.708,1,0.9984,1.03023,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24783_-1.root",OK
signal,24784,53.964,253.912,6.7655,0.0112343,2.85253,0.0760057,92.435,1,0.9985,1.03689,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24784_-1.root",OK
signal,24785,42.865,223.837,6.30078,0.0130756,2.9268,0.0823863,78.869,1,0.9987,1.02992,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24785_-1.root",OK
signal,24786,43.651,193.763,5.89514,0.0146128,2.8314,0.0861442,70.654,1,0.9984,1.0308,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24786_-1.root",OK
signal,24787,52.891,249.487,6.67742,0.0114451,2.8554,0.0764236,90.742,1,0.9986,1.0371,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24787_-1.root",OK
signal,24788,41.938,209.138,6.10029,0.0138583,2.89828,0.0845395,74.419,1,0.9985,1.02977,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24788_-1.root",OK
signal,24789,46.515,224.85,6.31561,0.0130403,2.93211,0.0823572,79.316,1,0.9987,1.03296,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24789_-1.root",OK
signal,24790,35.352,178.912,5.5176,0.0163896,2.93231,0.0904314,62.624,1,0.9991,1.02546,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24790_-1.root",OK
signal,24791,18.052,92.0625,3.83986,0.0323508,2.97829,0.124223,31.356,1,0.9988,1.01317,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24791_-1.root",OK
signal,24803,43.14,205.988,6.0846,0.0137134,2.82478,0.0834402,75.258,1,0.9988,1.0308,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24803_-1.root",OK
signal,24804,47.887,236.362,6.51216,0.0120758,2.85426,0.0786394,85.72,1,0.999,1.0341,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24804_-1.root",OK
signal,24805,54.781,280.913,7.11206,0.0100303,2.81763,0.0713359,103.75,1,0.9987,1.03929,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24805_-1.root",OK
signal,24806,51.278,242.25,6.57909,0.0117899,2.8561,0.0775666,88.068,1,0.9988,1.03706,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24806_-1.root",OK
signal,24807,53.682,264,6.839,0.0111272,2.93758,0.0760989,93.517,1,0.9982,1.03871,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24807_-1.root",OK
signal,24808,51.101,267.637,6.95147,0.0106338,2.84602,0.0739209,97.671,1,0.9983,1.03685,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24808_-1.root",OK
signal,24809,48.831,242.438,6.59989,0.0117808,2.85611,0.077752,87.987,1,0.9984,1.0349,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24809_-1.root",OK
signal,24810,47.644,238.163,6.53071,0.0121874,2.90258,0.0795923,84.979,1,0.9986,1.03422,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24810_-1.root",OK
signal,24811,50.384,187.2,5.82253,0.0144669,2.7082,0.0842338,71.722,1,0.9985,1.03604,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24811_-1.root",OK
