mode,group_id,tier_tag,curve_label_raw,plot_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_center,xsec,xsec_err,rel_xsec_err,n_sim,flag_bits,valid_default,is_plotted,plot_drop_reason,is_used_in_fit,fit_excl_reason,fit_tier,valid_fit_default,y_fit,residual,pull,attempts,note
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0.19635,0.0160634,0.00264264,0.164513,722,0,1,1,,1,FIT_INCLUDED,2,1,0.0146223,0.00144115,0.545344,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.589049,0.0143178,0.00219761,0.153488,962,0,1,1,,1,FIT_INCLUDED,2,1,0.0153428,-0.00102504,-0.466436,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.981748,0.0164086,0.00198759,0.121131,1459,0,1,1,,1,FIT_INCLUDED,2,1,0.0163598,4.87716e-05,0.0245381,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.37445,0.018292,0.0013501,0.0738082,3361,0,1,1,,1,FIT_INCLUDED,2,1,0.0170736,0.00121838,0.90244,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.76715,0.0169164,0.000834407,0.0493253,7225,0,1,1,,1,FIT_INCLUDED,2,1,0.017061,-0.000144631,-0.173334,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,2.15984,0.0166048,0.000623253,0.0375346,11609,0,1,1,,1,FIT_INCLUDED,2,1,0.016324,0.000280777,0.450503,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.55254,0.0150096,0.000491224,0.0327272,16077,0,1,1,,1,FIT_INCLUDED,2,1,0.0152892,-0.000279649,-0.569291,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.94524,0.0145509,0.000440271,0.0302574,19008,0,1,1,,1,FIT_INCLUDED,2,1,0.014559,-8.12437e-06,-0.0184531,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.33794,0.0149442,0.00043978,0.0294282,19473,0,1,1,,1,FIT_INCLUDED,2,1,0.014559,0.000385181,0.87585,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.73064,0.0149854,0.000477411,0.0318584,16978,0,1,1,,1,FIT_INCLUDED,2,1,0.0152892,-0.000303836,-0.636425,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,10,0,0.1,0.05,0,1,0.5,4.12334,0.0160778,0.000601157,0.0373904,12301,0,1,1,,1,FIT_INCLUDED,2,1,0.016324,-0.00024621,-0.40956,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.51604,0.0171874,0.000835874,0.048633,7401,0,1,1,,1,FIT_INCLUDED,2,1,0.017061,0.000126364,0.151176,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.90874,0.0177899,0.00131292,0.0738015,3466,0,1,1,,1,FIT_INCLUDED,2,1,0.0170736,0.000716289,0.545569,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.30144,0.0158204,0.00197211,0.124656,1523,0,1,1,,1,FIT_INCLUDED,2,1,0.0163598,-0.000539422,-0.273525,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.69414,0.0121534,0.00213832,0.175945,924,0,1,1,,1,FIT_INCLUDED,2,1,0.0153428,-0.00318944,-1.49156,t2:ok_or_best,A_SIG_LOW
