category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status
signal,24442,16.031,177.525,6.71093,0.0350318,6.21902,0.235096,28.924,1,0.9985,1.01174,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24442_-1.root",OK
signal,24443,15.95,172.462,6.47144,0.0375574,6.47724,0.24305,26.971,1,0.9987,1.01164,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24443_-1.root",OK
signal,24444,15.896,156.863,6.32817,0.0381986,5.99193,0.241728,26.509,1,0.999,1.0116,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24444_-1.root",OK
signal,24445,16.252,30.3,2.74852,0.219332,6.64577,0.60284,4.618,1,0.999,1.01186,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24445_-1.root",OK
signal,24446,16.022,85.95,4.68195,0.0671805,5.77416,0.314535,15.082,1,0.9985,1.0117,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24446_-1.root",OK
signal,24447,15.956,146.175,6.11629,0.0413553,6.04511,0.252941,24.499,1,0.9985,1.01164,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24447_-1.root",OK
signal,24448,16.234,65.0625,3.98366,0.102088,6.64208,0.406683,9.922,1,0.9989,1.0118,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24448_-1.root",OK
signal,24449,15.751,167.925,6.5536,0.0355343,5.9671,0.232878,28.492,1,0.999,1.01143,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24449_-1.root",OK
signal,24450,15.964,176.025,6.63294,0.0351902,6.19435,0.233414,28.79,1,0.9985,1.01161,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24450_-1.root",OK
signal,24451,15.996,168.375,6.45501,0.0385449,6.49001,0.248808,26.282,1,0.9986,1.01162,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24451_-1.root",OK
